[0, 0, 0],80842
[0, 0, 50],153371
[0, 0, 100],223475
[0, 0, 150],293461
[0, 0, 200],363030
[0, 0, 250],432364
[0, 0, 300],501884
[0, 0, 350],571538
[0, 0, 400],640600
[0, 50, 0],81204
[0, 50, 50],8638
[0, 50, 100],8797
[0, 50, 150],10873
[0, 50, 200],13541
[0, 50, 250],15767
[0, 50, 300],18661
[0, 50, 350],20699
[0, 50, 400],23291
[0, 100, 0],80923
[0, 100, 50],8658
[0, 100, 100],3550
[0, 100, 150],1220
[0, 100, 200],968
[0, 100, 250],935
[0, 100, 300],1058
[0, 100, 350],1066
[0, 100, 400],1194
[0, 150, 0],80960
[0, 150, 50],8515
[0, 150, 100],3719
[0, 150, 150],999
[0, 150, 200],550
[0, 150, 250],348
[0, 150, 300],290
[0, 150, 350],307
[0, 150, 400],321
[0, 200, 0],80692
[0, 200, 50],8544
[0, 200, 100],3749
[0, 200, 150],990
[0, 200, 200],631
[0, 200, 250],379
[0, 200, 300],325
[0, 200, 350],252
[0, 200, 400],251
[0, 250, 0],80676
[0, 250, 50],8571
[0, 250, 100],3604
[0, 250, 150],1050
[0, 250, 200],612
[0, 250, 250],384
[0, 250, 300],300
[0, 250, 350],262
[0, 250, 400],242
[0, 300, 0],81189
[0, 300, 50],8563
[0, 300, 100],3669
[0, 300, 150],1028
[0, 300, 200],583
[0, 300, 250],366
[0, 300, 300],274
[0, 300, 350],248
[0, 300, 400],215
[0, 350, 0],81408
[0, 350, 50],8604
[0, 350, 100],3692
[0, 350, 150],1109
[0, 350, 200],579
[0, 350, 250],351
[0, 350, 300],270
[0, 350, 350],229
[0, 350, 400],222
[0, 400, 0],80778
[0, 400, 50],8584
[0, 400, 100],3688
[0, 400, 150],1019
[0, 400, 200],590
[0, 400, 250],380
[0, 400, 300],335
[0, 400, 350],270
[0, 400, 400],232
[0, 450, 0],81525
[0, 450, 50],8464
[0, 450, 100],3746
[0, 450, 150],984
[0, 450, 200],589
[0, 450, 250],348
[0, 450, 300],293
[0, 450, 350],245
[0, 450, 400],226
[50, 0, 0],81128
[50, 0, 50],81183
[50, 0, 100],83706
[50, 0, 150],85639
[50, 0, 200],88095
[50, 0, 250],90681
[50, 0, 300],93479
[50, 0, 350],95491
[50, 0, 400],98571
[50, 50, 0],80981
[50, 50, 50],226063
[50, 50, 100],293255
[50, 50, 150],361210
[50, 50, 200],427856
[50, 50, 250],495887
[50, 50, 300],562671
[50, 50, 350],630768
[50, 50, 400],697421
[50, 100, 0],81001
[50, 100, 50],80881
[50, 100, 100],18636
[50, 100, 150],16098
[50, 100, 200],16400
[50, 100, 250],18680
[50, 100, 300],21070
[50, 100, 350],23448
[50, 100, 400],25717
[50, 150, 0],81240
[50, 150, 50],81027
[50, 150, 100],13530
[50, 150, 150],6854
[50, 150, 200],2276
[50, 150, 250],1498
[50, 150, 300],1220
[50, 150, 350],1273
[50, 150, 400],1358
[50, 200, 0],80894
[50, 200, 50],80666
[50, 200, 100],13473
[50, 200, 150],6669
[50, 200, 200],1806
[50, 200, 250],1070
[50, 200, 300],575
[50, 200, 350],471
[50, 200, 400],396
[50, 250, 0],81021
[50, 250, 50],80726
[50, 250, 100],13467
[50, 250, 150],6562
[50, 250, 200],1846
[50, 250, 250],1005
[50, 250, 300],569
[50, 250, 350],410
[50, 250, 400],353
[50, 300, 0],80743
[50, 300, 50],81148
[50, 300, 100],13512
[50, 300, 150],6708
[50, 300, 200],1884
[50, 300, 250],1047
[50, 300, 300],559
[50, 300, 350],422
[50, 300, 400],355
[50, 350, 0],81178
[50, 350, 50],81453
[50, 350, 100],13562
[50, 350, 150],6771
[50, 350, 200],1932
[50, 350, 250],985
[50, 350, 300],532
[50, 350, 350],406
[50, 350, 400],319
[50, 400, 0],80227
[50, 400, 50],80774
[50, 400, 100],13562
[50, 400, 150],6615
[50, 400, 200],1849
[50, 400, 250],1015
[50, 400, 300],540
[50, 400, 350],420
[50, 400, 400],354
[50, 450, 0],80692
[50, 450, 50],81507
[50, 450, 100],13514
[50, 450, 150],6867
[50, 450, 200],1855
[50, 450, 250],1046
[50, 450, 300],549
[50, 450, 350],407
[50, 450, 400],370
[100, 0, 0],81209
[100, 0, 50],81139
[100, 0, 100],80676
[100, 0, 150],80871
[100, 0, 200],80805
[100, 0, 250],81319
[100, 0, 300],80768
[100, 0, 350],81297
[100, 0, 400],36880
[100, 50, 0],81239
[100, 50, 50],81014
[100, 50, 100],86228
[100, 50, 150],88079
[100, 50, 200],91471
[100, 50, 250],93287
[100, 50, 300],95926
[100, 50, 350],97771
[100, 50, 400],56551
[100, 100, 0],81282
[100, 100, 50],226002
[100, 100, 100],360604
[100, 100, 150],433016
[100, 100, 200],502439
[100, 100, 250],570039
[100, 100, 300],637644
[100, 100, 350],704444
[100, 100, 400],727711
[100, 150, 0],80657
[100, 150, 50],81239
[100, 150, 100],85644
[100, 150, 150],27792
[100, 150, 200],23953
[100, 150, 250],22018
[100, 150, 300],23935
[100, 150, 350],26271
[100, 150, 400],26959
[100, 200, 0],80396
[100, 200, 50],80885
[100, 200, 100],80501
[100, 200, 150],18232
[100, 200, 200],9970
[100, 200, 250],3327
[100, 200, 300],2310
[100, 200, 350],1719
[100, 200, 400],1596
[100, 250, 0],80997
[100, 250, 50],81079
[100, 250, 100],80903
[100, 250, 150],18028
[100, 250, 200],9597
[100, 250, 250],2911
[100, 250, 300],1560
[100, 250, 350],832
[100, 250, 400],571
[100, 300, 0],80855
[100, 300, 50],80965
[100, 300, 100],81156
[100, 300, 150],17975
[100, 300, 200],9565
[100, 300, 250],2879
[100, 300, 300],1542
[100, 300, 350],794
[100, 300, 400],559
[100, 350, 0],80827
[100, 350, 50],81214
[100, 350, 100],81447
[100, 350, 150],18034
[100, 350, 200],9768
[100, 350, 250],2964
[100, 350, 300],1540
[100, 350, 350],764
[100, 350, 400],512
[100, 400, 0],80913
[100, 400, 50],80321
[100, 400, 100],80619
[100, 400, 150],18087
[100, 400, 200],9505
[100, 400, 250],2791
[100, 400, 300],1488
[100, 400, 350],739
[100, 400, 400],540
[100, 450, 0],80604
[100, 450, 50],80850
[100, 450, 100],81362
[100, 450, 150],18179
[100, 450, 200],9678
[100, 450, 250],2859
[100, 450, 300],1505
[100, 450, 350],728
[100, 450, 400],514
[150, 0, 0],81038
[150, 0, 50],80469
[150, 0, 100],80709
[150, 0, 150],80421
[150, 0, 200],80979
[150, 0, 250],80345
[150, 0, 300],80920
[150, 0, 350],33214
[150, 0, 400],20680
[150, 50, 0],81021
[150, 50, 50],81317
[150, 50, 100],80795
[150, 50, 150],81613
[150, 50, 200],81098
[150, 50, 250],81409
[150, 50, 300],81251
[150, 50, 350],34230
[150, 50, 400],21507
[150, 100, 0],80881
[150, 100, 50],80769
[150, 100, 100],85982
[150, 100, 150],90715
[150, 100, 200],93525
[150, 100, 250],96369
[150, 100, 300],98008
[150, 100, 350],53603
[150, 100, 400],43060
[150, 150, 0],80105
[150, 150, 50],224596
[150, 150, 100],359326
[150, 150, 150],493981
[150, 150, 200],570378
[150, 150, 250],642755
[150, 150, 300],710809
[150, 150, 350],730382
[150, 150, 400],741962
[150, 200, 0],81042
[150, 200, 50],80291
[150, 200, 100],85723
[150, 200, 150],90311
[150, 200, 200],36704
[150, 200, 250],31886
[150, 200, 300],28101
[150, 200, 350],28008
[150, 200, 400],28135
[150, 250, 0],81246
[150, 250, 50],80968
[150, 250, 100],80925
[150, 250, 150],81182
[150, 250, 200],22566
[150, 250, 250],13007
[150, 250, 300],4805
[150, 250, 350],3049
[150, 250, 400],2095
[150, 300, 0],81241
[150, 300, 50],80657
[150, 300, 100],80984
[150, 300, 150],81057
[150, 300, 200],22281
[150, 300, 250],12548
[150, 300, 300],4130
[150, 300, 350],2158
[150, 300, 400],1061
[150, 350, 0],81025
[150, 350, 50],80802
[150, 350, 100],81128
[150, 350, 150],81359
[150, 350, 200],22235
[150, 350, 250],12634
[150, 350, 300],4123
[150, 350, 350],2171
[150, 350, 400],1041
[150, 400, 0],81312
[150, 400, 50],80719
[150, 400, 100],80301
[150, 400, 150],80626
[150, 400, 200],22263
[150, 400, 250],12353
[150, 400, 300],3943
[150, 400, 350],2111
[150, 400, 400],1003
[150, 450, 0],80841
[150, 450, 50],80673
[150, 450, 100],80980
[150, 450, 150],81186
[150, 450, 200],22418
[150, 450, 250],12514
[150, 450, 300],4121
[150, 450, 350],2187
[150, 450, 400],996
[200, 0, 0],80468
[200, 0, 50],80863
[200, 0, 100],80458
[200, 0, 150],80937
[200, 0, 200],80385
[200, 0, 250],80926
[200, 0, 300],29765
[200, 0, 350],17990
[200, 0, 400],6663
[200, 50, 0],81142
[200, 50, 50],80684
[200, 50, 100],81450
[200, 50, 150],80815
[200, 50, 200],81033
[200, 50, 250],80867
[200, 50, 300],30170
[200, 50, 350],18090
[200, 50, 400],6866
[200, 100, 0],80763
[200, 100, 50],81074
[200, 100, 100],81013
[200, 100, 150],81273
[200, 100, 200],81711
[200, 100, 250],81279
[200, 100, 300],30772
[200, 100, 350],18746
[200, 100, 400],7496
[200, 150, 0],81027
[200, 150, 50],80462
[200, 150, 100],85919
[200, 150, 150],90651
[200, 150, 200],95596
[200, 150, 250],98467
[200, 150, 300],49964
[200, 150, 350],40508
[200, 150, 400],32039
[200, 200, 0],80418
[200, 200, 50],225470
[200, 200, 100],359652
[200, 200, 150],494860
[200, 200, 200],629129
[200, 200, 250],708659
[200, 200, 300],732249
[200, 200, 350],743045
[200, 200, 400],745401
[200, 250, 0],81022
[200, 250, 50],81224
[200, 250, 100],86063
[200, 250, 150],90690
[200, 250, 200],95284
[200, 250, 250],45765
[200, 250, 300],37665
[200, 250, 350],30549
[200, 250, 400],29103
[200, 300, 0],80605
[200, 300, 50],81237
[200, 300, 100],80542
[200, 300, 150],81266
[200, 300, 200],81470
[200, 300, 250],26786
[200, 300, 300],15956
[200, 300, 350],6221
[200, 300, 400],3666
[200, 350, 0],80790
[200, 350, 50],80958
[200, 350, 100],80793
[200, 350, 150],80952
[200, 350, 200],81339
[200, 350, 250],26193
[200, 350, 300],15536
[200, 350, 350],5477
[200, 350, 400],2904
[200, 400, 0],80805
[200, 400, 50],81274
[200, 400, 100],80836
[200, 400, 150],80338
[200, 400, 200],80544
[200, 400, 250],26169
[200, 400, 300],15052
[200, 400, 350],5214
[200, 400, 400],2750
[200, 450, 0],81121
[200, 450, 50],80909
[200, 450, 100],80429
[200, 450, 150],81086
[200, 450, 200],81242
[200, 450, 250],26366
[200, 450, 300],15323
[200, 450, 350],5382
[200, 450, 400],2845
[250, 0, 0],81054
[250, 0, 50],80598
[250, 0, 100],80863
[250, 0, 150],80406
[250, 0, 200],80856
[250, 0, 250],26159
[250, 0, 300],15186
[250, 0, 350],5222
[250, 0, 400],2765
[250, 50, 0],80788
[250, 50, 50],81347
[250, 50, 100],80746
[250, 50, 150],81129
[250, 50, 200],80882
[250, 50, 250],26424
[250, 50, 300],15372
[250, 50, 350],5488
[250, 50, 400],2809
[250, 100, 0],81082
[250, 100, 50],81061
[250, 100, 100],81017
[250, 100, 150],81323
[250, 100, 200],80787
[250, 100, 250],26291
[250, 100, 300],15283
[250, 100, 350],5359
[250, 100, 400],2890
[250, 150, 0],80467
[250, 150, 50],80882
[250, 150, 100],81035
[250, 150, 150],81617
[250, 150, 200],81461
[250, 150, 250],26663
[250, 150, 300],15849
[250, 150, 350],6142
[250, 150, 400],3668
[250, 200, 0],80938
[250, 200, 50],80941
[250, 200, 100],86451
[250, 200, 150],90868
[250, 200, 200],95288
[250, 200, 250],45702
[250, 200, 300],37576
[250, 200, 350],30375
[250, 200, 400],29343
[250, 250, 0],80797
[250, 250, 50],225782
[250, 250, 100],361220
[250, 250, 150],496716
[250, 250, 200],631062
[250, 250, 250],710669
[250, 250, 300],733830
[250, 250, 350],744650
[250, 250, 400],747908
[250, 300, 0],81207
[250, 300, 50],80535
[250, 300, 100],86174
[250, 300, 150],90321
[250, 300, 200],95546
[250, 300, 250],98533
[250, 300, 300],49892
[250, 300, 350],40442
[250, 300, 400],32165
[250, 350, 0],81041
[250, 350, 50],80733
[250, 350, 100],80966
[250, 350, 150],81059
[250, 350, 200],81399
[250, 350, 250],81810
[250, 350, 300],30397
[250, 350, 350],18882
[250, 350, 400],7616
[250, 400, 0],80787
[250, 400, 50],81064
[250, 400, 100],81175
[250, 400, 150],80804
[250, 400, 200],80381
[250, 400, 250],80573
[250, 400, 300],29769
[250, 400, 350],17788
[250, 400, 400],6672
[250, 450, 0],80892
[250, 450, 50],80983
[250, 450, 100],80794
[250, 450, 150],80389
[250, 450, 200],81151
[250, 450, 250],81248
[250, 450, 300],29940
[250, 450, 350],18026
[250, 450, 400],6768
[300, 0, 0],80537
[300, 0, 50],80848
[300, 0, 100],80445
[300, 0, 150],81018
[300, 0, 200],22184
[300, 0, 250],12314
[300, 0, 300],3971
[300, 0, 350],2088
[300, 0, 400],975
[300, 50, 0],81116
[300, 50, 50],80645
[300, 50, 100],80928
[300, 50, 150],80715
[300, 50, 200],22570
[300, 50, 250],12616
[300, 50, 300],4182
[300, 50, 350],2113
[300, 50, 400],984
[300, 100, 0],81039
[300, 100, 50],81055
[300, 100, 100],81403
[300, 100, 150],80720
[300, 100, 200],22264
[300, 100, 250],12414
[300, 100, 300],4037
[300, 100, 350],2132
[300, 100, 400],1050
[300, 150, 0],80864
[300, 150, 50],81148
[300, 150, 100],81418
[300, 150, 150],80949
[300, 150, 200],22255
[300, 150, 250],12486
[300, 150, 300],4029
[300, 150, 350],2172
[300, 150, 400],1019
[300, 200, 0],81091
[300, 200, 50],81366
[300, 200, 100],81105
[300, 200, 150],80633
[300, 200, 200],22772
[300, 200, 250],13024
[300, 200, 300],4796
[300, 200, 350],3019
[300, 200, 400],2073
[300, 250, 0],81179
[300, 250, 50],81314
[300, 250, 100],86193
[300, 250, 150],90215
[300, 250, 200],36927
[300, 250, 250],31804
[300, 250, 300],28505
[300, 250, 350],28190
[300, 250, 400],27847
[300, 300, 0],80715
[300, 300, 50],226005
[300, 300, 100],359922
[300, 300, 150],495372
[300, 300, 200],571250
[300, 300, 250],643188
[300, 300, 300],711606
[300, 300, 350],731600
[300, 300, 400],742592
[300, 350, 0],80883
[300, 350, 50],81066
[300, 350, 100],85737
[300, 350, 150],90711
[300, 350, 200],93354
[300, 350, 250],96109
[300, 350, 300],98912
[300, 350, 350],52987
[300, 350, 400],42943
[300, 400, 0],81091
[300, 400, 50],80737
[300, 400, 100],81037
[300, 400, 150],81349
[300, 400, 200],81256
[300, 400, 250],80822
[300, 400, 300],81085
[300, 400, 350],33698
[300, 400, 400],21081
[300, 450, 0],81346
[300, 450, 50],80918
[300, 450, 100],81222
[300, 450, 150],80604
[300, 450, 200],80388
[300, 450, 250],81172
[300, 450, 300],81285
[300, 450, 350],33601
[300, 450, 400],20721
[350, 0, 0],80827
[350, 0, 50],80402
[350, 0, 100],80937
[350, 0, 150],17889
[350, 0, 200],9533
[350, 0, 250],2789
[350, 0, 300],1439
[350, 0, 350],756
[350, 0, 400],502
[350, 50, 0],80726
[350, 50, 50],80947
[350, 50, 100],80895
[350, 50, 150],18315
[350, 50, 200],9629
[350, 50, 250],2961
[350, 50, 300],1484
[350, 50, 350],723
[350, 50, 400],535
[350, 100, 0],81092
[350, 100, 50],81379
[350, 100, 100],80815
[350, 100, 150],18106
[350, 100, 200],9660
[350, 100, 250],2877
[350, 100, 300],1528
[350, 100, 350],763
[350, 100, 400],555
[350, 150, 0],81066
[350, 150, 50],81371
[350, 150, 100],80934
[350, 150, 150],17941
[350, 150, 200],9582
[350, 150, 250],2832
[350, 150, 300],1515
[350, 150, 350],725
[350, 150, 400],529
[350, 200, 0],81181
[350, 200, 50],80872
[350, 200, 100],80508
[350, 200, 150],18039
[350, 200, 200],9593
[350, 200, 250],2939
[350, 200, 300],1570
[350, 200, 350],810
[350, 200, 400],623
[350, 250, 0],81337
[350, 250, 50],81312
[350, 250, 100],80747
[350, 250, 150],18168
[350, 250, 200],9986
[350, 250, 250],3459
[350, 250, 300],2240
[350, 250, 350],1707
[350, 250, 400],1598
[350, 300, 0],81060
[350, 300, 50],80343
[350, 300, 100],86436
[350, 300, 150],27842
[350, 300, 200],24234
[350, 300, 250],22306
[350, 300, 300],24044
[350, 300, 350],26089
[350, 300, 400],27317
[350, 350, 0],80780
[350, 350, 50],225338
[350, 350, 100],360069
[350, 350, 150],432126
[350, 350, 200],501770
[350, 350, 250],569186
[350, 350, 300],636424
[350, 350, 350],703919
[350, 350, 400],727097
[350, 400, 0],81219
[350, 400, 50],81011
[350, 400, 100],85873
[350, 400, 150],88663
[350, 400, 200],91062
[350, 400, 250],93355
[350, 400, 300],95329
[350, 400, 350],97783
[350, 400, 400],56176
[350, 450, 0],80985
[350, 450, 50],81205
[350, 450, 100],80947
[350, 450, 150],81299
[350, 450, 200],80842
[350, 450, 250],80636
[350, 450, 300],81524
[350, 450, 350],81611
[350, 450, 400],37210
[400, 0, 0],80470
[400, 0, 50],80964
[400, 0, 100],13307
[400, 0, 150],6596
[400, 0, 200],1792
[400, 0, 250],964
[400, 0, 300],509
[400, 0, 350],360
[400, 0, 400],350
[400, 50, 0],80924
[400, 50, 50],81131
[400, 50, 100],13654
[400, 50, 150],6757
[400, 50, 200],1904
[400, 50, 250],957
[400, 50, 300],511
[400, 50, 350],383
[400, 50, 400],335
[400, 100, 0],81327
[400, 100, 50],80718
[400, 100, 100],13530
[400, 100, 150],6752
[400, 100, 200],1917
[400, 100, 250],993
[400, 100, 300],541
[400, 100, 350],441
[400, 100, 400],343
[400, 150, 0],81442
[400, 150, 50],80645
[400, 150, 100],13251
[400, 150, 150],6693
[400, 150, 200],1814
[400, 150, 250],987
[400, 150, 300],540
[400, 150, 350],390
[400, 150, 400],330
[400, 200, 0],80925
[400, 200, 50],80721
[400, 200, 100],13497
[400, 200, 150],6692
[400, 200, 200],1874
[400, 200, 250],1033
[400, 200, 300],572
[400, 200, 350],405
[400, 200, 400],324
[400, 250, 0],81242
[400, 250, 50],80803
[400, 250, 100],13605
[400, 250, 150],6691
[400, 250, 200],1893
[400, 250, 250],976
[400, 250, 300],593
[400, 250, 350],467
[400, 250, 400],400
[400, 300, 0],80524
[400, 300, 50],81530
[400, 300, 100],13455
[400, 300, 150],7074
[400, 300, 200],2177
[400, 300, 250],1564
[400, 300, 300],1310
[400, 300, 350],1365
[400, 300, 400],1395
[400, 350, 0],80934
[400, 350, 50],80804
[400, 350, 100],18650
[400, 350, 150],16392
[400, 350, 200],16359
[400, 350, 250],18547
[400, 350, 300],20930
[400, 350, 350],23746
[400, 350, 400],25900
[400, 400, 0],81455
[400, 400, 50],226620
[400, 400, 100],294163
[400, 400, 150],361461
[400, 400, 200],429056
[400, 400, 250],496587
[400, 400, 300],563912
[400, 400, 350],630990
[400, 400, 400],697438
[400, 450, 0],80991
[400, 450, 50],81061
[400, 450, 100],83623
[400, 450, 150],86105
[400, 450, 200],88680
[400, 450, 250],90762
[400, 450, 300],93110
[400, 450, 350],96134
[400, 450, 400],98787
[450, 0, 0],80640
[450, 0, 50],8376
[450, 0, 100],3637
[450, 0, 150],975
[450, 0, 200],554
[450, 0, 250],352
[450, 0, 300],292
[450, 0, 350],257
[450, 0, 400],227
[450, 50, 0],81386
[450, 50, 50],8741
[450, 50, 100],3779
[450, 50, 150],1021
[450, 50, 200],543
[450, 50, 250],352
[450, 50, 300],299
[450, 50, 350],262
[450, 50, 400],228
[450, 100, 0],80856
[450, 100, 50],8649
[450, 100, 100],3696
[450, 100, 150],1023
[450, 100, 200],575
[450, 100, 250],369
[450, 100, 300],305
[450, 100, 350],244
[450, 100, 400],230
[450, 150, 0],80587
[450, 150, 50],8530
[450, 150, 100],3639
[450, 150, 150],938
[450, 150, 200],550
[450, 150, 250],361
[450, 150, 300],264
[450, 150, 350],245
[450, 150, 400],230
[450, 200, 0],80804
[450, 200, 50],8625
[450, 200, 100],3722
[450, 200, 150],1087
[450, 200, 200],614
[450, 200, 250],362
[450, 200, 300],307
[450, 200, 350],277
[450, 200, 400],239
[450, 250, 0],80845
[450, 250, 50],8583
[450, 250, 100],3635
[450, 250, 150],1060
[450, 250, 200],589
[450, 250, 250],382
[450, 250, 300],295
[450, 250, 350],246
[450, 250, 400],245
[450, 300, 0],81483
[450, 300, 50],8639
[450, 300, 100],3772
[450, 300, 150],979
[450, 300, 200],632
[450, 300, 250],405
[450, 300, 300],309
[450, 300, 350],283
[450, 300, 400],297
[450, 350, 0],80818
[450, 350, 50],8712
[450, 350, 100],3640
[450, 350, 150],1171
[450, 350, 200],949
[450, 350, 250],905
[450, 350, 300],1020
[450, 350, 350],1103
[450, 350, 400],1130
[450, 400, 0],81212
[450, 400, 50],8695
[450, 400, 100],8545
[450, 400, 150],10837
[450, 400, 200],13293
[450, 400, 250],15754
[450, 400, 300],18346
[450, 400, 350],20786
[450, 400, 400],23553
[450, 450, 0],80755
[450, 450, 50],153182
[450, 450, 100],223135
[450, 450, 150],293053
[450, 450, 200],362909
[450, 450, 250],432801
[450, 450, 300],502102
[450, 450, 350],571431
[450, 450, 400],641315
